player_id,web_name,position_id,position_name,team_id,team_name,now_cost,1_pts
1,Leno,1,GKP,1,Arsenal,5.0,3.45
2,Rúnarsson,1,GKP,1,Arsenal,4.0,0.03
3,Willian,3,MID,1,Arsenal,6.5,2.05
7,Xhaka,3,MID,1,Arsenal,5.0,1.84
12,Elneny,3,MID,1,Arsenal,4.5,1.32
13,Maitland-Niles,3,MID,1,Arsenal,5.5,1.47
15,Partey,3,MID,1,Arsenal,5.0,1.24
17,Pépé,3,MID,1,Arsenal,7.5,3.0
18,Torreira,3,MID,1,Arsenal,4.5,0.0
19,Willock,3,MID,1,Arsenal,6.0,2.08
21,Smith Rowe,3,MID,1,Arsenal,5.5,1.95
22,Saka,3,MID,1,Arsenal,6.5,3.0
25,Guendouzi,3,MID,1,Arsenal,4.5,0.0
26,Martinelli,3,MID,1,Arsenal,5.5,0.95
4,Aubameyang,4,FWD,1,Arsenal,10.0,2.92
6,Lacazette,4,FWD,1,Arsenal,8.5,3.39
20,Nketiah,4,FWD,1,Arsenal,5.5,0.95
5,Cédric,2,DEF,1,Arsenal,4.5,0.74
8,Marí,2,DEF,1,Arsenal,4.5,0.89
9,Bellerín,2,DEF,1,Arsenal,5.0,2.47
10,Chambers,2,DEF,1,Arsenal,4.5,0.95
11,Kolasinac,2,DEF,1,Arsenal,4.5,0.05
14,Holding,2,DEF,1,Arsenal,4.5,2.76
16,Tierney,2,DEF,1,Arsenal,5.0,2.53
23,Gabriel,2,DEF,1,Arsenal,5.0,2.05
24,Mavropanos,2,DEF,1,Arsenal,4.5,0.0
27,Saliba,2,DEF,1,Arsenal,4.5,0.0
28,Steer,1,GKP,2,Aston Villa,4.0,0.0
30,Martínez,1,GKP,2,Aston Villa,5.5,4.89
29,Hourihane,3,MID,2,Aston Villa,5.0,0.53
32,Traoré,3,MID,2,Aston Villa,6.0,3.55
33,Grealish,3,MID,2,Aston Villa,8.0,3.55
34,Sanson,3,MID,2,Aston Villa,5.0,0.26
35,McGinn,3,MID,2,Aston Villa,6.0,3.0
37,Trézéguet,3,MID,2,Aston Villa,5.5,1.47
41,Nakamba,3,MID,2,Aston Villa,4.5,0.71
42,El Ghazi,3,MID,2,Aston Villa,6.0,2.92
43,Buendía,3,MID,2,Aston Villa,6.5,0.0
50,Douglas Luiz,3,MID,2,Aston Villa,4.5,1.89
51,Ramsey,3,MID,2,Aston Villa,4.5,0.74
40,Watkins,4,FWD,2,Aston Villa,7.5,4.42
47,Wesley,4,FWD,2,Aston Villa,5.5,0.08
48,Samatta,4,FWD,2,Aston Villa,5.5,0.0
49,Davis,4,FWD,2,Aston Villa,4.5,0.61
31,Engels,2,DEF,2,Aston Villa,4.5,0.0
36,Hause,2,DEF,2,Aston Villa,4.5,0.84
38,Mings,2,DEF,2,Aston Villa,5.0,3.37
39,Targett,2,DEF,2,Aston Villa,5.0,3.63
44,Cash,2,DEF,2,Aston Villa,5.0,2.34
45,Konsa,2,DEF,2,Aston Villa,5.0,3.13
46,Guilbert,2,DEF,2,Aston Villa,4.5,0.0
52,Young,2,DEF,2,Aston Villa,5.0,0.0
80,Raya,1,GKP,3,Brentford,4.5,0.0
92,Balcombe,1,GKP,3,Brentford,4.0,0.0
94,Gunnarsson,1,GKP,3,Brentford,4.0,0.0
77,Nørgaard,3,MID,3,Brentford,5.0,0.0
79,Fosu,3,MID,3,Brentford,5.5,0.0
81,Canós,3,MID,3,Brentford,5.5,0.0
82,Dasilva,3,MID,3,Brentford,5.5,0.0
84,Janelt,3,MID,3,Brentford,5.0,0.0
85,Ghoddos,3,MID,3,Brentford,5.5,0.0
86,Jensen,3,MID,3,Brentford,5.0,0.0
93,Zamburek,3,MID,3,Brentford,4.5,0.0
96,Mbeumo,3,MID,3,Brentford,5.5,0.0
97,Bidstrup,3,MID,3,Brentford,4.5,0.0
78,Toney,4,FWD,3,Brentford,6.5,0.0
88,Forss,4,FWD,3,Brentford,5.5,0.0
95,Dervişoğlu,4,FWD,3,Brentford,5.5,0.0
76,Jansson,2,DEF,3,Brentford,4.5,0.0
83,Henry,2,DEF,3,Brentford,4.5,0.0
87,Goode,2,DEF,3,Brentford,4.0,0.0
89,Roerslev,2,DEF,3,Brentford,4.5,0.0
90,Sørensen,2,DEF,3,Brentford,4.5,0.0
91,Pinnock,2,DEF,3,Brentford,4.5,0.0
54,Steele,1,GKP,4,Brighton,4.0,0.0
65,Ryan,1,GKP,4,Brighton,4.5,0.97
69,Sánchez,1,GKP,4,Brighton,4.5,2.66
53,Lallana,3,MID,4,Brighton,5.5,1.53
55,Groß,3,MID,4,Brighton,6.0,3.05
57,Pröpper,3,MID,4,Brighton,4.5,0.24
60,March,3,MID,4,Brighton,5.5,1.82
64,Trossard,3,MID,4,Brighton,6.5,3.47
66,Jahanbakhsh,3,MID,4,Brighton,5.5,0.63
