player_id,web_name,position_id,position_name,team_id,team_name,now_cost,1_pts
1,Leno,1,GKP,1,Arsenal,5.0,3.77
2,Rúnarsson,1,GKP,1,Arsenal,4.0,2.0
3,Willian,3,MID,1,Arsenal,6.5,5.02
7,Xhaka,3,MID,1,Arsenal,5.0,2.5
12,Elneny,3,MID,1,Arsenal,4.5,2.93
13,Maitland-Niles,3,MID,1,Arsenal,5.5,2.94
15,Partey,3,MID,1,Arsenal,5.0,2.77
17,Pépé,3,MID,1,Arsenal,7.5,6.39
18,Torreira,3,MID,1,Arsenal,4.5,2.0
19,Willock,3,MID,1,Arsenal,6.0,5.88
21,Smith Rowe,3,MID,1,Arsenal,5.5,4.63
22,Saka,3,MID,1,Arsenal,6.5,4.02
25,Guendouzi,3,MID,1,Arsenal,4.5,2.0
26,Martinelli,3,MID,1,Arsenal,5.5,5.57
4,Aubameyang,4,FWD,1,Arsenal,10.0,4.29
6,Lacazette,4,FWD,1,Arsenal,8.5,6.06
20,Nketiah,4,FWD,1,Arsenal,5.5,2.0
5,Cédric,2,DEF,1,Arsenal,4.5,3.39
8,Marí,2,DEF,1,Arsenal,4.5,3.4
9,Bellerín,2,DEF,1,Arsenal,5.0,4.05
10,Chambers,2,DEF,1,Arsenal,4.5,4.31
11,Kolasinac,2,DEF,1,Arsenal,4.5,2.0
14,Holding,2,DEF,1,Arsenal,4.5,3.7
16,Tierney,2,DEF,1,Arsenal,5.0,3.76
23,Gabriel,2,DEF,1,Arsenal,5.0,3.52
24,Mavropanos,2,DEF,1,Arsenal,4.5,2.0
27,Saliba,2,DEF,1,Arsenal,4.5,2.0
28,Steer,1,GKP,2,Aston Villa,4.0,2.0
30,Martínez,1,GKP,2,Aston Villa,5.5,4.89
29,Hourihane,3,MID,2,Aston Villa,5.0,2.0
32,Traoré,3,MID,2,Aston Villa,6.0,5.25
33,Grealish,3,MID,2,Aston Villa,8.0,5.57
34,Sanson,3,MID,2,Aston Villa,5.0,2.0
35,McGinn,3,MID,2,Aston Villa,6.0,3.08
37,Trézéguet,3,MID,2,Aston Villa,5.5,4.36
41,Nakamba,3,MID,2,Aston Villa,4.5,3.25
42,El Ghazi,3,MID,2,Aston Villa,6.0,6.23
43,Buendía,3,MID,2,Aston Villa,6.5,2.0
50,Douglas Luiz,3,MID,2,Aston Villa,4.5,2.33
51,Ramsey,3,MID,2,Aston Villa,4.5,4.12
40,Watkins,4,FWD,2,Aston Villa,7.5,4.54
47,Wesley,4,FWD,2,Aston Villa,5.5,2.0
48,Samatta,4,FWD,2,Aston Villa,5.5,2.0
49,Davis,4,FWD,2,Aston Villa,4.5,2.0
31,Engels,2,DEF,2,Aston Villa,4.5,2.0
36,Hause,2,DEF,2,Aston Villa,4.5,4.57
38,Mings,2,DEF,2,Aston Villa,5.0,3.61
39,Targett,2,DEF,2,Aston Villa,5.0,3.65
44,Cash,2,DEF,2,Aston Villa,5.0,3.38
45,Konsa,2,DEF,2,Aston Villa,5.0,3.35
46,Guilbert,2,DEF,2,Aston Villa,4.5,2.0
52,Young,2,DEF,2,Aston Villa,5.0,2.0
80,Raya,1,GKP,3,Brentford,4.5,2.0
92,Balcombe,1,GKP,3,Brentford,4.0,2.0
94,Gunnarsson,1,GKP,3,Brentford,4.0,2.0
77,Nørgaard,3,MID,3,Brentford,5.0,2.0
79,Fosu,3,MID,3,Brentford,5.5,2.0
81,Canós,3,MID,3,Brentford,5.5,2.0
